Ontology,FileSize
ore_ont_12957.owl,24581
ore_ont_12965.owl,399841
ore_ont_12985.owl,25337711
ore_ont_12987.owl,199095
ore_ont_12992.owl,6385596
ore_ont_12993.owl,42619931
ore_ont_13000.owl,2219370
ore_ont_13018.owl,31753
ore_ont_13035.owl,122819
ore_ont_13052.owl,4719704
ore_ont_13053.owl,65938
ore_ont_1306.owl,102851474
ore_ont_13064.owl,60337
ore_ont_13066.owl,70902
ore_ont_13071.owl,5503375
ore_ont_13077.owl,66100
ore_ont_13078.owl,1360103
ore_ont_13082.owl,2552457
ore_ont_13097.owl,94555
ore_ont_1310.owl,8386703
ore_ont_13100.owl,104157
ore_ont_13103.owl,7995608
ore_ont_13106.owl,50490123
ore_ont_13112.owl,256987
ore_ont_13113.owl,412646
ore_ont_13122.owl,4494300
ore_ont_13124.owl,1610722
ore_ont_13129.owl,79268
ore_ont_13132.owl,51606
ore_ont_13136.owl,9954985
ore_ont_13139.owl,1059311
ore_ont_13141.owl,1678403
ore_ont_13150.owl,1291934
ore_ont_13153.owl,680943
ore_ont_13178.owl,1462658
ore_ont_13204.owl,26469
ore_ont_13219.owl,494467
ore_ont_13220.owl,10805471
ore_ont_13224.owl,26119929
ore_ont_13229.owl,25110489
ore_ont_13230.owl,3271129
ore_ont_13233.owl,7246910
ore_ont_13234.owl,90362
ore_ont_13242.owl,21168228
ore_ont_13243.owl,11590322
ore_ont_1325.owl,130083
ore_ont_13276.owl,18629948
ore_ont_13277.owl,27341
ore_ont_13298.owl,339034
ore_ont_13299.owl,819866
ore_ont_1330.owl,6049675
ore_ont_13301.owl,78888
ore_ont_13306.owl,20168
ore_ont_13336.owl,1394726
ore_ont_13337.owl,1247585
ore_ont_13355.owl,67481686
ore_ont_13359.owl,7633221
ore_ont_13383.owl,165797
ore_ont_13392.owl,23084
ore_ont_13398.owl,103077
ore_ont_1340.owl,1322973
ore_ont_13404.owl,260672
ore_ont_13405.owl,437485
ore_ont_13413.owl,356548
ore_ont_1342.owl,58368
ore_ont_13423.owl,24406323
ore_ont_13429.owl,18591
ore_ont_13430.owl,1578932
ore_ont_13444.owl,496062
ore_ont_13451.owl,2024294
ore_ont_1346.owl,325613
ore_ont_13460.owl,1287279
ore_ont_13474.owl,522246
ore_ont_13482.owl,178779907
ore_ont_13483.owl,33210
ore_ont_13503.owl,16129
ore_ont_13524.owl,46076
ore_ont_13526.owl,7001602
ore_ont_13530.owl,40118
ore_ont_13545.owl,429310
ore_ont_1357.owl,23687639
ore_ont_13578.owl,335311
ore_ont_13581.owl,150643
ore_ont_13584.owl,93640
ore_ont_13591.owl,56185839
ore_ont_13621.owl,1446886
ore_ont_13643.owl,32966
ore_ont_13646.owl,244993
ore_ont_13647.owl,155318043
ore_ont_13657.owl,154402
ore_ont_13664.owl,7387021
ore_ont_13665.owl,5808044
ore_ont_13674.owl,1327288
ore_ont_13679.owl,1309039
ore_ont_13680.owl,50847
ore_ont_13684.owl,8902831
ore_ont_13690.owl,3152999
ore_ont_1370.owl,26490123
ore_ont_13700.owl,1299835
ore_ont_13704.owl,92030
ore_ont_13708.owl,15752435
ore_ont_13723.owl,3289639
ore_ont_13737.owl,36683
ore_ont_13740.owl,79689
ore_ont_13752.owl,4494858
ore_ont_13755.owl,990486
ore_ont_13759.owl,39925
ore_ont_13762.owl,149239
ore_ont_13772.owl,103480
ore_ont_13776.owl,1294725
ore_ont_13799.owl,80814
ore_ont_13805.owl,111691
ore_ont_13811.owl,3798110
ore_ont_13833.owl,92659
ore_ont_13837.owl,900046
ore_ont_13840.owl,1282845
ore_ont_13846.owl,52908043
ore_ont_13851.owl,1299980
ore_ont_13852.owl,2275141
ore_ont_13857.owl,1239072
ore_ont_13859.owl,462252
ore_ont_13872.owl,89061
ore_ont_13880.owl,227136
ore_ont_13885.owl,52451
ore_ont_13887.owl,142189
ore_ont_13897.owl,135853
ore_ont_13898.owl,181353
ore_ont_13902.owl,15653289
ore_ont_13912.owl,254843
ore_ont_13919.owl,1687430
ore_ont_13928.owl,18830216
ore_ont_13937.owl,20550399
ore_ont_13941.owl,1293357
ore_ont_13949.owl,1706527
ore_ont_13954.owl,187630
ore_ont_13964.owl,6529932
ore_ont_13969.owl,22866521
ore_ont_1397.owl,215516
ore_ont_13991.owl,1942330
ore_ont_14012.owl,9955030
ore_ont_14025.owl,16104031
ore_ont_14027.owl,2562163
ore_ont_14031.owl,449513
ore_ont_14040.owl,820780
ore_ont_14042.owl,159104159
ore_ont_1406.owl,203769
ore_ont_14066.owl,2201383
ore_ont_14101.owl,6430530
ore_ont_14123.owl,311517
ore_ont_14128.owl,29162
ore_ont_14134.owl,1246481
ore_ont_14153.owl,397195
ore_ont_14154.owl,24128451
ore_ont_14175.owl,84686
ore_ont_14183.owl,1301918
ore_ont_14185.owl,109274
ore_ont_14191.owl,1491332
ore_ont_14194.owl,1446888
ore_ont_1420.owl,16681
ore_ont_14216.owl,40865169
ore_ont_1422.owl,9770351
ore_ont_14221.owl,19142818
ore_ont_14223.owl,5583459
ore_ont_14237.owl,1308556
ore_ont_14255.owl,1290885
ore_ont_14258.owl,1578889
ore_ont_14272.owl,161322
ore_ont_14273.owl,45485
ore_ont_14280.owl,2323922
ore_ont_14285.owl,539888
ore_ont_14286.owl,1321579
ore_ont_14294.owl,1357271
ore_ont_1430.owl,82601
ore_ont_14308.owl,50361313
ore_ont_14312.owl,11065462
ore_ont_14321.owl,159568
ore_ont_14325.owl,72878
ore_ont_14327.owl,56355
ore_ont_14328.owl,30729
ore_ont_14331.owl,1250991
ore_ont_14334.owl,203417
ore_ont_14341.owl,87012
ore_ont_14348.owl,75927
ore_ont_14351.owl,19381396
ore_ont_14353.owl,429137
ore_ont_14355.owl,23738500
ore_ont_14365.owl,10241990
ore_ont_14367.owl,1349222
ore_ont_14370.owl,391199
ore_ont_14375.owl,8085489
ore_ont_14379.owl,67963
ore_ont_14380.owl,5645412
ore_ont_14381.owl,145450
ore_ont_14388.owl,120649
ore_ont_14396.owl,838648
ore_ont_14407.owl,3586760
ore_ont_14412.owl,42861
ore_ont_14425.owl,7334590
ore_ont_1445.owl,298250
ore_ont_14450.owl,1385373
ore_ont_14452.owl,1326782
ore_ont_14459.owl,153642871
ore_ont_14486.owl,35248
ore_ont_14499.owl,1951671
ore_ont_14508.owl,8011535
ore_ont_14517.owl,67833
ore_ont_14518.owl,73802
ore_ont_14543.owl,13650022
ore_ont_14551.owl,1447287
ore_ont_14556.owl,15115832
ore_ont_14572.owl,10532344
ore_ont_14574.owl,2009632
ore_ont_14587.owl,2044086
ore_ont_14588.owl,41244
ore_ont_14593.owl,1244572
ore_ont_14601.owl,19620552
ore_ont_14607.owl,47325714
ore_ont_1461.owl,154251
ore_ont_14667.owl,593958
ore_ont_14684.owl,298300
ore_ont_1469.owl,1446397
ore_ont_1473.owl,248987
ore_ont_14742.owl,22063175
ore_ont_14746.owl,16263
ore_ont_1475.owl,747381
ore_ont_14766.owl,1301994
ore_ont_14767.owl,1338836
ore_ont_14776.owl,8335180
ore_ont_1478.owl,236669
ore_ont_148.owl,1330870
ore_ont_14800.owl,82446
ore_ont_1481.owl,450097
ore_ont_14816.owl,65456
ore_ont_14817.owl,25102486
ore_ont_14818.owl,1033584
ore_ont_14826.owl,47333
ore_ont_14831.owl,46284
ore_ont_14840.owl,350507
ore_ont_14848.owl,50865
ore_ont_14860.owl,1059845
ore_ont_14861.owl,28163821
ore_ont_14863.owl,1099936
ore_ont_14878.owl,1305307
ore_ont_14879.owl,11219484
ore_ont_14881.owl,14201801
ore_ont_14883.owl,129924
ore_ont_14896.owl,1303121
ore_ont_14897.owl,6014673
ore_ont_14901.owl,145222
ore_ont_14906.owl,1313380
ore_ont_14909.owl,8972351
ore_ont_14912.owl,666208
ore_ont_14919.owl,1300429
ore_ont_14924.owl,114739
ore_ont_14926.owl,44988
ore_ont_1493.owl,1139512
ore_ont_14931.owl,28503
ore_ont_14934.owl,13441283
ore_ont_14936.owl,137173
ore_ont_1494.owl,111799
ore_ont_14981.owl,202538
ore_ont_14995.owl,2464019
ore_ont_1501.owl,2225580
ore_ont_15010.owl,101688
ore_ont_15013.owl,1360902
ore_ont_15030.owl,341802
ore_ont_15058.owl,96097
ore_ont_15059.owl,576728615
ore_ont_15063.owl,2253994
ore_ont_15066.owl,2358036
ore_ont_15068.owl,79093
ore_ont_15074.owl,5541381
ore_ont_1508.owl,3884535
ore_ont_1509.owl,361678
ore_ont_15098.owl,2562927
ore_ont_15099.owl,8468930
ore_ont_15103.owl,91399
ore_ont_15108.owl,914741
ore_ont_15125.owl,32585237
ore_ont_15133.owl,23739348
ore_ont_15145.owl,43564
ore_ont_15152.owl,1086595
ore_ont_15160.owl,44454
ore_ont_15167.owl,19335
ore_ont_1517.owl,1312837
ore_ont_15172.owl,14271298
ore_ont_15178.owl,4099747
ore_ont_15184.owl,1237876
ore_ont_15203.owl,393839299
ore_ont_15210.owl,33037
ore_ont_15217.owl,115527
ore_ont_15222.owl,765264
ore_ont_15224.owl,1404290
ore_ont_15226.owl,18830962
ore_ont_15229.owl,34912
ore_ont_15231.owl,110230
ore_ont_15237.owl,14040244
ore_ont_1524.owl,43428
ore_ont_15249.owl,14117900
ore_ont_1526.owl,16778
ore_ont_15260.owl,3196281
ore_ont_15273.owl,379884
ore_ont_15280.owl,167417960
ore_ont_15288.owl,2568789
ore_ont_15291.owl,94601
ore_ont_15292.owl,464843
ore_ont_15297.owl,684718
ore_ont_153.owl,1247437
ore_ont_15301.owl,758044
ore_ont_15318.owl,24636
ore_ont_1533.owl,1446886
ore_ont_15331.owl,16678
ore_ont_15341.owl,1282787
ore_ont_15344.owl,2686640
ore_ont_15352.owl,1294723
ore_ont_15355.owl,1307108
ore_ont_15363.owl,2051213
ore_ont_1537.owl,139479
ore_ont_15372.owl,17590854
ore_ont_15388.owl,8595584
ore_ont_1539.owl,1288227
ore_ont_15397.owl,213781
ore_ont_15399.owl,22671
ore_ont_15407.owl,226542
ore_ont_15413.owl,194061
ore_ont_15418.owl,46617172
ore_ont_15421.owl,44765
ore_ont_15450.owl,1292016
ore_ont_15461.owl,48959
ore_ont_15475.owl,1484892
ore_ont_15490.owl,1288677
ore_ont_15491.owl,3342045
ore_ont_155.owl,168699
ore_ont_15514.owl,93097
ore_ont_15516.owl,200879
ore_ont_15526.owl,420753
ore_ont_15536.owl,10735544
ore_ont_15544.owl,1294860
ore_ont_1555.owl,1434174
ore_ont_15557.owl,13529596
ore_ont_15575.owl,198332
ore_ont_15576.owl,44990
ore_ont_15583.owl,518381
ore_ont_1559.owl,393840303
ore_ont_15596.owl,108119
ore_ont_15612.owl,2250388
ore_ont_15615.owl,1522487
ore_ont_15621.owl,28245826
ore_ont_15623.owl,3140321
ore_ont_15635.owl,60895447
ore_ont_15652.owl,144668
ore_ont_15655.owl,2531841
ore_ont_15667.owl,30038
ore_ont_15672.owl,70141
ore_ont_15680.owl,1973008
ore_ont_15682.owl,156703
ore_ont_15685.owl,214762
ore_ont_15687.owl,21974908
ore_ont_15692.owl,1344701
ore_ont_15695.owl,20999265
ore_ont_15696.owl,17852490
ore_ont_15703.owl,274783723
ore_ont_15725.owl,24299011
ore_ont_15733.owl,5049831
ore_ont_15737.owl,69284
ore_ont_15741.owl,518358
ore_ont_15753.owl,178957
ore_ont_1579.owl,40329194
ore_ont_15790.owl,5593078
ore_ont_15791.owl,7477539
ore_ont_15793.owl,2430218
ore_ont_15796.owl,1329757
ore_ont_15800.owl,31492
ore_ont_15803.owl,132287537
ore_ont_15846.owl,40243912
ore_ont_15860.owl,544026
ore_ont_15871.owl,2392675
ore_ont_15878.owl,3583301
ore_ont_15882.owl,72039
ore_ont_15917.owl,1277580
ore_ont_15921.owl,1714678
ore_ont_15929.owl,18104594
ore_ont_15932.owl,1004359
ore_ont_15933.owl,186378
ore_ont_15944.owl,1181325
ore_ont_15950.owl,394841
ore_ont_15968.owl,943232
ore_ont_15971.owl,13757
ore_ont_15976.owl,51643951
ore_ont_15985.owl,216653
ore_ont_15991.owl,9684182
ore_ont_15993.owl,41428
ore_ont_16008.owl,132673984
ore_ont_16010.owl,61533
ore_ont_16017.owl,1301787
ore_ont_1603.owl,443258
ore_ont_16033.owl,80716
ore_ont_16039.owl,757499
ore_ont_16054.owl,121243
ore_ont_16056.owl,435403
ore_ont_16076.owl,30312
ore_ont_16089.owl,19165298
ore_ont_16105.owl,2210916
ore_ont_16114.owl,2836947
ore_ont_16115.owl,166262
ore_ont_16120.owl,1296061
ore_ont_16124.owl,1440897
ore_ont_16157.owl,237456
ore_ont_16166.owl,106639
ore_ont_16167.owl,31789
ore_ont_1618.owl,34364
ore_ont_16184.owl,15901619
ore_ont_16188.owl,102260
ore_ont_16191.owl,162775
ore_ont_16197.owl,57518
ore_ont_16235.owl,21161219
ore_ont_16255.owl,259974
ore_ont_16267.owl,55099
ore_ont_16268.owl,74911
ore_ont_16274.owl,53740
ore_ont_16283.owl,7792536
ore_ont_16286.owl,23984350
ore_ont_16289.owl,50907
ore_ont_16299.owl,2048901
ore_ont_16303.owl,1386978
ore_ont_16312.owl,203646
ore_ont_16315.owl,15816012
ore_ont_16321.owl,98585
ore_ont_1634.owl,9955024
ore_ont_16351.owl,24445
ore_ont_16359.owl,50808
ore_ont_16371.owl,229621
ore_ont_16372.owl,283119
ore_ont_16414.owl,78020602
ore_ont_16420.owl,4329875
ore_ont_16425.owl,208119
ore_ont_16428.owl,32689937
ore_ont_16444.owl,24345383
ore_ont_16453.owl,1688573
ore_ont_16457.owl,110900726
ore_ont_1646.owl,305062
ore_ont_16461.owl,31090
ore_ont_16462.owl,50530513
ore_ont_16481.owl,127666
ore_ont_165.owl,97677
ore_ont_16501.owl,96842
ore_ont_16509.owl,1140266
ore_ont_16511.owl,16927916
ore_ont_16519.owl,27978471
ore_ont_16535.owl,83521
ore_ont_16542.owl,5543137
ore_ont_16547.owl,1164531
ore_ont_16558.owl,1192172
ore_ont_16559.owl,6925867
ore_ont_16565.owl,1292152
ore_ont_16586.owl,118665812
ore_ont_16594.owl,46363
ore_ont_16596.owl,51515698
ore_ont_16610.owl,2048597
ore_ont_16617.owl,1297885
ore_ont_16619.owl,3570265
ore_ont_1662.owl,45211
ore_ont_16626.owl,52265
ore_ont_16630.owl,55446
ore_ont_16632.owl,3808709
ore_ont_16642.owl,1328968
ore_ont_1666.owl,2449741
ore_ont_16666.owl,2249961
ore_ont_16669.owl,1188955
ore_ont_16670.owl,72933
ore_ont_16680.owl,19549081
ore_ont_16684.owl,11432180
ore_ont_16687.owl,6334426
ore_ont_16701.owl,44808633
ore_ont_16703.owl,7591149
ore_ont_16708.owl,151562
ore_ont_1672.owl,952614
ore_ont_16723.owl,51071
ore_ont_1673.owl,123049579
ore_ont_16730.owl,91481
ore_ont_16738.owl,1294725
ore_ont_16744.owl,576729915
ore_ont_16746.owl,3670464
ore_ont_16750.owl,1871683
ore_ont_16759.owl,1439224
ore_ont_16767.owl,22006623
ore_ont_16777.owl,80170
ore_ont_16800.owl,2588709
ore_ont_16806.owl,764676
ore_ont_16814.owl,55592
ore_ont_16821.owl,191627
ore_ont_16822.owl,1310364
ore_ont_16827.owl,39439
ore_ont_16829.owl,31313580
ore_ont_16847.owl,129169
ore_ont_1685.owl,7246969
ore_ont_16850.owl,24814
ore_ont_16853.owl,5631863
ore_ont_16855.owl,50815
ore_ont_1705.owl,148797
ore_ont_1707.owl,373592
ore_ont_1728.owl,165506
ore_ont_1734.owl,3279460
ore_ont_1743.owl,4029350
ore_ont_1746.owl,44849
ore_ont_1756.owl,175308
ore_ont_1767.owl,2854910
ore_ont_178.owl,56088
ore_ont_1784.owl,130976
ore_ont_1790.owl,1294861
ore_ont_1793.owl,108630
ore_ont_1820.owl,30918808
ore_ont_1821.owl,48830631
ore_ont_1823.owl,93592
ore_ont_1833.owl,7654706
ore_ont_1834.owl,152173
ore_ont_1840.owl,10783470
ore_ont_185.owl,70714
ore_ont_1853.owl,120320
ore_ont_1866.owl,73530
ore_ont_1869.owl,124924
ore_ont_1870.owl,1294605
ore_ont_1886.owl,44280574
ore_ont_1898.owl,86363
ore_ont_1902.owl,50847
ore_ont_191.owl,11217638
ore_ont_1931.owl,190442
ore_ont_1938.owl,35947963
ore_ont_1944.owl,50853
ore_ont_1954.owl,5381517
ore_ont_1958.owl,176507
ore_ont_1965.owl,1475344
ore_ont_1966.owl,12473193
ore_ont_1967.owl,22671
ore_ont_1970.owl,1340876
ore_ont_1988.owl,60590
ore_ont_1997.owl,44340
ore_ont_20.owl,41706934
