Statistics,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,
ore_ont_3671.owl,17,1,282,182,145,3,34,25,59,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3909.owl,76,0,139,62,62,0,0,0,2,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_2036.owl,64,5,203,94,89,5,0,0,46,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_508.owl,66,5,205,95,90,5,0,0,46,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_9867.owl,94,0,239,137,134,0,3,0,8,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_16351.owl,71,0,194,98,98,0,0,0,26,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_12957.owl,99,0,195,94,94,0,0,0,2,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL
ore_ont_15318.owl,59,0,229,124,105,0,19,30,16,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_6635.owl,44,2,245,158,156,2,0,11,31,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16850.owl,37,0,205,129,119,0,10,20,20,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_4106.owl,56,0,224,127,117,0,10,0,42,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_2038.owl,51,0,284,232,128,103,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3842.owl,98,0,200,96,96,0,0,0,6,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_9709.owl,24,13,233,175,102,35,38,26,11,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13204.owl,35,0,215,180,180,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_10321.owl,13,5,150,94,90,4,0,32,12,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12360.owl,28,8,325,210,157,18,35,27,61,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5646.owl,113,0,257,138,132,0,6,0,6,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_13277.owl,72,0,182,87,86,0,1,0,24,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL
ore_ont_9600.owl,92,0,259,136,113,0,23,1,30,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3341.owl,15,0,194,139,135,0,4,40,0,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_8169.owl,133,0,290,155,154,0,1,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_14931.owl,104,17,288,172,149,17,6,4,9,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_6461.owl,53,0,318,264,135,128,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10019.owl,48,0,202,150,141,0,9,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14128.owl,82,0,198,94,94,0,0,0,24,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_8128.owl,44,0,307,152,152,0,0,0,112,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_15667.owl,25,24,259,201,114,78,9,14,20,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_4855.owl,127,0,251,124,124,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_7482.owl,63,0,178,115,115,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_16076.owl,189,0,376,186,186,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_7270.owl,85,0,206,99,99,0,0,0,24,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_14328.owl,79,0,267,148,124,0,24,0,42,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_16461.owl,92,0,237,130,117,0,13,0,16,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_15800.owl,192,0,385,193,193,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_9635.owl,97,3,294,171,160,6,5,6,21,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13018.owl,176,0,351,175,175,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_16167.owl,40,0,228,142,137,0,5,17,30,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11834.owl,36,0,311,229,145,0,84,0,46,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_9422.owl,49,0,226,148,112,0,36,5,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1222.owl,42,0,320,238,234,0,4,7,34,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13643.owl,176,0,357,181,181,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15210.owl,31,7,341,224,132,5,87,6,81,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11357.owl,44,0,287,197,194,0,3,24,22,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13483.owl,48,4,220,133,128,2,3,26,14,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_8047.owl,16,2,274,211,208,3,0,27,22,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_9994.owl,28,43,289,205,151,52,2,32,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1618.owl,36,0,216,144,141,0,3,23,14,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7464.owl,32,1,239,160,155,1,4,27,21,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_6735.owl,214,0,427,213,213,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_10176.owl,171,0,278,104,104,0,0,0,3,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_15229.owl,93,0,221,123,118,0,5,2,5,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12101.owl,33,1,243,162,157,1,4,27,22,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14486.owl,117,0,245,128,128,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_8094.owl,45,0,297,212,162,0,50,0,41,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_714.owl,23,7,302,227,131,9,79,9,44,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10264.owl,63,0,325,186,124,0,62,0,76,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_13737.owl,69,58,315,206,130,58,18,6,35,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5696.owl,124,0,382,258,258,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_3806.owl,116,19,334,213,189,21,3,0,6,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3504.owl,52,2,242,148,125,0,23,7,35,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_2652.owl,93,0,352,209,143,0,66,0,51,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL
ore_ont_2654.owl,172,1,390,217,216,1,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_3250.owl,87,3,252,157,142,6,9,0,9,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_8335.owl,116,0,426,305,132,166,7,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_2775.owl,116,0,426,305,132,166,7,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3082.owl,121,0,241,120,120,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_9031.owl,197,0,419,216,216,0,0,0,6,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_8665.owl,148,0,390,234,227,0,7,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16827.owl,80,99,442,269,166,103,0,0,93,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_11380.owl,128,0,409,218,162,0,56,0,63,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13759.owl,140,0,313,154,149,0,5,9,10,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL
ore_ont_2012.owl,72,0,368,225,103,0,122,3,69,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7517.owl,79,41,241,149,96,45,8,5,10,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13530.owl,234,0,470,235,235,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_10413.owl,69,2,361,205,136,1,68,0,87,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_4724.owl,67,0,350,198,132,0,66,0,85,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_4223.owl,75,0,213,128,113,0,15,0,10,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12906.owl,80,0,168,88,88,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_14588.owl,26,47,298,237,122,105,10,16,20,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_15993.owl,26,0,334,241,128,0,94,3,68,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3463.owl,123,0,245,122,122,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_5303.owl,95,0,336,234,224,0,10,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12118.owl,8,8,307,190,94,6,90,0,110,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_12948.owl,34,32,322,242,148,74,20,26,21,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11895.owl,123,13,309,182,156,26,0,2,3,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14412.owl,36,0,383,290,191,0,99,3,54,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5090.owl,144,0,384,237,237,0,0,0,3,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_10536.owl,8,10,307,191,94,7,90,0,109,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_7969.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_2876.owl,82,0,179,93,93,0,0,0,5,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_1524.owl,106,100,435,321,117,200,4,6,3,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_15145.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_2697.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_11866.owl,69,2,357,205,136,1,68,0,83,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_3775.owl,66,0,425,278,277,0,1,63,18,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_9462.owl,104,128,455,350,221,128,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_8666.owl,82,125,347,249,111,137,1,4,13,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7962.owl,34,2,346,237,225,6,6,41,35,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1997.owl,94,0,334,233,223,0,10,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_4897.owl,143,0,432,255,217,0,38,0,34,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11133.owl,167,0,425,249,247,0,2,0,9,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_15160.owl,73,0,378,216,144,0,72,0,89,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15421.owl,74,72,300,223,114,108,1,1,2,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1746.owl,151,0,301,150,150,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_14926.owl,240,0,479,239,239,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15576.owl,269,0,535,266,266,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_10407.owl,51,0,238,107,107,0,0,43,38,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_9941.owl,51,0,238,107,107,0,0,43,38,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1662.owl,74,2,385,220,146,1,73,0,91,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_14273.owl,72,10,382,220,142,7,71,0,90,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_11522.owl,123,0,472,271,242,0,29,0,79,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_10823.owl,74,5,386,222,146,3,73,0,90,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_13524.owl,77,2,400,229,152,1,76,0,94,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_420.owl,170,5,419,198,193,5,0,4,47,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_7417.owl,117,63,479,328,168,135,25,12,23,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12653.owl,22,0,254,178,158,0,20,19,36,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14831.owl,8,2,348,213,108,1,104,0,128,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_16594.owl,167,0,433,255,247,0,8,0,11,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_3592.owl,45,1,364,245,237,1,7,33,42,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_8226.owl,105,0,269,137,128,0,9,0,27,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_6485.owl,120,0,327,201,191,0,10,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_8806.owl,166,0,451,274,268,0,6,0,11,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_6812.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_5742.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_6207.owl,264,0,550,281,277,0,4,0,5,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_9736.owl,138,0,292,145,137,0,8,5,5,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_5089.owl,111,0,381,223,159,0,64,0,49,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_6333.owl,81,0,295,206,193,0,13,0,9,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14826.owl,93,0,322,165,149,0,16,0,66,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_2837.owl,30,24,241,167,89,54,24,1,45,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_6855.owl,13,33,324,273,124,137,12,15,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10088.owl,62,0,360,250,213,0,37,0,50,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_3639.owl,71,0,300,189,160,0,29,4,37,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11497.owl,105,0,389,279,276,0,3,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_385.owl,46,8,342,232,203,11,18,10,55,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11676.owl,80,6,422,242,158,5,79,0,100,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_11291.owl,55,0,255,170,162,0,8,2,29,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_15461.owl,40,1,332,224,216,1,7,31,38,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12584.owl,76,8,399,229,150,4,75,0,94,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_3936.owl,122,200,462,332,128,200,4,0,9,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_5258.owl,151,19,464,265,226,39,0,0,50,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_3260.owl,39,1,336,224,214,1,9,35,39,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_2557.owl,85,2,438,253,168,1,84,0,100,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_258.owl,275,0,546,271,271,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_9666.owl,21,1,308,229,163,2,64,3,56,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_6260.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_6470.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5572.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_2989.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11523.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10537.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16359.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_6617.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_9002.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16855.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10888.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3270.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_202.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_4193.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1902.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_4428.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5159.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13680.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11901.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1944.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11972.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_8951.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14848.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_4936.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11929.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3789.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3852.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16289.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3987.owl,30,47,456,346,260,61,25,37,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16723.owl,43,45,345,264,138,110,16,12,27,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3128.owl,232,0,377,136,136,0,0,0,9,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_13132.owl,64,98,591,477,146,302,29,20,31,0,OWL2_DL - OWL2_FULL,OWL2_DL
